Revenue,US GDP,Europe GDP,CHN GDP US,Price Index,NIKE,quarter
1517,12359.095,1728.244,257.6491478,246.5,2161.6,12/31/2006
1248,12592.53,1749.6,290.4375347,326.4,2272.7,3/31/2007
1677,12607.676,1769.2586,310.5509795,322.5,2636.7,6/30/2007
1393,12679.338,1789.2533,352.6952908,321,2198.7,9/30/2007
1558,12643.283,1819.1398,290.9745461,329.4,2170.1,12/31/2007
1368,12710.303,1833.7128,322.9185545,329.8,2483.3,3/31/2008
1790,12670.106,1845.8787,342.3182873,313.3,2613.7,6/30/2008
1396,12705.269,1861.9357,383.2036536,302.1,2336.8,9/30/2008
1638,12822.258,1878.7827,317.6722159,296.5,2260.3,12/31/2008
1507,12893.002,1893.8006,352.7201556,301,2682.2,3/31/2009
1868,12955.769,1914.8373,377.6277002,298.9,2796.3,6/30/2009
1510,12964.016,1927.3414,422.4807606,292.2,2514.7,9/30/2009
1669,13031.169,1933.8716,360.3184575,294,2400.9,12/31/2009
1392,13152.089,1943.9955,393.0823689,296.3,2985.1,3/31/2010
1853,13372.357,1969.8488,426.3863719,300.7,3024.8999,6/30/2010
1353,13528.71,1988.4921,480.4692692,309.2,2837.1001,9/30/2010
1623,13606.509,2010.1204,417.3613628,327.1,2904,12/31/2010
1401,13706.247,2031.7648,467.5953894,333,3487.1,3/31/2011
1758,13830.828,2046.1822,505.7028248,332.7,3561.8,6/30/2011
1078,13950.376,2065.0153,564.7314686,321.3,3148.3,9/30/2011
1674,14099.081,2076.9228,488.7694074,310.3,3308.2,12/31/2011
1516,14172.695,2101.5592,541.207032,311.3,3721.3999,3/31/2012
1924,14291.757,2124.5527,593.7716263,304.9,3862,6/30/2012
1522,14373.438,2153.8395,669.43818,297.6,3474.7,9/30/2012
2459,14546.119,2179.1093,587.2396158,292.9,3612.8,12/31/2012
2428,14589.585,2214.8485,658.7748262,295.3,4005.3999,3/31/2013
2949,14602.633,2240.2389,708.9028538,295.9,4194.1,6/30/2013
2248,14716.93,2275.9027,814.7578982,297.4,3821.7,9/30/2013
2538,14726.022,2314.0186,739.2749088,299.8,3926.9,12/31/2013
2400,14838.664,2338.311,851.0275097,301.4,4383.2,3/31/2014
2941,14938.467,2362.3233,925.6537253,305.6,4655.1,6/30/2014
2420,14991.784,2392.4261,1077.69077,310.7,4339.5,9/30/2014
2621,14889.45,2416.1125,988.8873059,322.3,4544.4,12/31/2014
2521,14963.357,2419.7352,1148.386815,334.9,5088,3/31/2015
3083,14891.643,2411.6787,1210.595016,335.8,5432.2,6/30/2015
2574,14576.985,2382.319,1299.183566,332,4590.1,9/30/2015
2577,14375.018,2317.899,1083.295543,323,4440.8,12/31/2015
2457,14355.558,2310.3118,1229.248086,320.8,4713,3/31/2016
2888,14402.477,2320.8229,1318.113926,326.8,4798.5,6/30/2016
2458,14541.901,2339.3294,1479.643244,332.5,4405.6,9/30/2016
2674,14604.845,2349.0783,1283.521088,338,4733,12/31/2016
2917,14745.933,2377.2072,1465.66729,347.7,5076.9,3/31/2017
3468,14845.458,2396.7357,1585.396427,354,5175,6/30/2017
2931,14939.001,2415.8493,1806.489604,431.9,4842,9/30/2017
3273,14881.301,2439.892,1596.013056,567.3,5079,12/31/2017
3064,14989.555,2445.9589,1841.492058,655.8,5766,3/31/2018
3744,15021.149,2454.5014,1998.174637,576.6,6081,6/30/2018
3241,15190.255,2455.0806,2198.146297,505.5,5546,9/30/2018
3824,15291.035,2459.2684,1868.261761,431.7,5656,12/31/2018
3517,15362.415,2457.5753,2081.96177,410.7,6236,3/31/2019
4173,15380.802,2461.7675,2186.122063,379,6474,6/30/2019
3369,15384.254,2459.3375,2424.14462,369.2,5955,9/30/2019
3751,15491.878,2462.1908,2067.944917,370.9,6187,12/31/2019
3383,15521.559,2480.4379,2330.354975,389.3,6697,3/31/2020
3879,15641.336,2492.9432,2487.068966,387,6971,6/30/2020
3391,15793.928,2503.5416,2763.257079,378.1,6431,9/30/2020
3480,15757.57,2523.3995,2285.691065,382.6,6972,12/31/2020
3400,15935.825,2528.0244,2542.923547,390,7425,3/31/2021
4044,16139.513,2545.8879,2693.409183,380.3,7982,6/30/2021
3610,16220.222,2567.0729,2960.990358,360.6,7380,9/30/2021
4083,16349.97,2600.1163,2458.190876,336.7,7460,12/31/2021
3907,16460.889,2616.8871,2756.199293,333.2,7779,3/31/2022
4758,16527.587,2637.0496,2777.891312,333.5,8414,6/30/2022
4167,16547.619,2656.2397,2970.838789,331.3,7686,9/30/2022
4769,16571.573,2672.9105,2498.306867,329.4,8032,12/31/2022
4199,16663.516,2683.9678,2720.204681,324.1,8244,3/31/2023
5413,16778.148,2699.5255,2856.350444,322.4,9061,6/30/2023
4687,16851.42,2725.4219,3040.101873,325.4,8180,9/30/2023
5671,16903.24,2745.1033,2622.014221,344.6,8432,12/31/2023
